name,age,income,credit_score,loan_amount,employment_type,loan_status,city
Rahul,58,150257,645,714092,Business,Rejected,Mumbai
Fatima,65,150993,889,78296,Business,Rejected,Pune
Karan,60,46618,822,596816,Self-Employed,Rejected,Hyderabad
Rahul,55,137630,773,731165,Self-Employed,Rejected,Ahmedabad
Riya,33,134616,840,380808,Business,Approved,Pune
Arjun,62,124109,876,914185,Salaried,Approved,Mumbai
Rohan,41,112110,849,99127,Business,Approved,Chennai
Rahul,24,156610,833,666539,Self-Employed,Rejected,Kolkata
Kabir,51,78415,686,548491,Salaried,Rejected,Bangalore
Aditya,28,114801,496,542342,Self-Employed,Approved,Ahmedabad
Priya,34,129808,774,7692,Self-Employed,Approved,Mumbai
Zoya,46,133538,683,32805,Business,Rejected,Chennai
Ananya,60,135171,856,579614,Self-Employed,Rejected,Kolkata
Priya,47,82705,830,401907,Business,Rejected,Pune
Arjun,35,131053,869,37428,Salaried,Rejected,Ahmedabad
Rohan,60,143424,666,173355,Self-Employed,Rejected,Kolkata
Ananya,59,75479,829,-25853,Business,Approved,Pune
Rahul,59,116385,614,196213,Business,Approved,Chennai
Fatima,54,96880,648,897599,Self-Employed,Approved,Mumbai
Zoya,58,71307,835,745239,Self-Employed,Approved,Chennai
Sara,55,125351,715,538570,Salaried,Approved,Hyderabad
Aman,66,29639,659,78323,Business,Approved,Pune
Neha,45,148040,791,553813,Business,Approved,Hyderabad
Riya,55,114658,886,410435,Business,Rejected,Chennai
Ananya,49,85973,799,-3858,Self-Employed,Rejected,Pune
Aditya,57,156667,862,248985,Self-Employed,Approved,Pune
Riya,66,125663,795,183977,Salaried,Approved,Hyderabad
Riya,54,153724,484,657376,Salaried,Approved,Kolkata
Neha,61,62225,787,491422,Salaried,Approved,Bangalore
Fatima,26,86833,518,353976,Salaried,Rejected,Kolkata
Riya,42,94762,768,595063,Business,Approved,Mumbai
Aisha,69,71028,828,-11002,Salaried,Approved,Delhi
Rahul,53,149232,872,524005,Business,Rejected,Delhi
Karan,56,128776,620,978610,Self-Employed,Approved,Chennai
Priya,69,107227,864,494266,Business,Approved,Kolkata
Aditya,40,143819,876,114496,Self-Employed,Approved,Pune
Ananya,46,103224,864,635725,Self-Employed,Rejected,Delhi
Rohan,53,130587,875,970706,Self-Employed,Approved,Chennai
Rohan,64,129767,788,239622,Salaried,Rejected,Chennai
Aman,24,72068,571,334071,Business,Approved,Ahmedabad
Imran,68,90660,726,114050,Self-Employed,Approved,Mumbai
Aman,53,103917,709,695279,Self-Employed,Rejected,Mumbai
Karan,41,137995,608,665118,Self-Employed,Rejected,Ahmedabad
Imran,66,155892,760,487098,Self-Employed,Rejected,Pune
Riya,31,101268,689,451457,Self-Employed,Rejected,Pune
Priya,57,104543,780,68826,Business,Approved,Mumbai
Karan,66,99636,701,181057,Business,Approved,Pune
Kabir,50,148144,542,622669,Self-Employed,Rejected,Pune
Riya,60,148961,726,217530,Business,Rejected,Chennai
Rohan,61,95989,676,446237,Business,Rejected,Hyderabad
Aditya,64,131325,760,369548,Salaried,Approved,Delhi
Riya,26,135196,501,498421,Salaried,Approved,Delhi
Aman,56,115027,756,565859,Business,Approved,Mumbai
Aisha,59,133859,876,190597,Salaried,Approved,Mumbai
Imran,55,125954,894,109642,Salaried,Approved,Ahmedabad
Sara,62,39455,752,907822,Business,Rejected,Bangalore
Priya,49,136704,733,202010,Self-Employed,Approved,Chennai
Ananya,67,104894,742,241421,Business,Rejected,Kolkata
Imran,43,51735,731,451655,Business,Rejected,Pune
Zoya,63,147693,521,586341,Business,Rejected,Ahmedabad
Kabir,63,125191,676,420743,Salaried,Approved,Mumbai
Arjun,67,123009,823,499731,Self-Employed,Rejected,Kolkata
Rohan,40,145179,829,324306,Self-Employed,Approved,Pune
Riya,67,122635,496,399751,Salaried,Approved,Bangalore
Sara,60,147705,657,686785,Business,Approved,Mumbai
Rohan,66,102416,657,140224,Business,Rejected,Chennai
Rahul,53,82662,677,295635,Self-Employed,Approved,Kolkata
Zoya,58,75367,702,236509,Business,Rejected,Kolkata
Kabir,36,137927,754,730699,Salaried,Approved,Chennai
Arjun,58,112313,633,309770,Salaried,Rejected,Hyderabad
Aman,67,110123,723,-58224,Business,Approved,Pune
Priya,60,100734,532,711945,Business,Rejected,Bangalore
Aman,27,23560,698,178680,Self-Employed,Approved,Ahmedabad
Arjun,45,109211,667,752798,Business,Approved,Pune
Ananya,48,33053,862,212318,Business,Approved,Kolkata
Kabir,49,120821,836,219445,Self-Employed,Approved,Chennai
Rahul,60,152131,650,916185,Business,Rejected,Kolkata
Aditya,65,149134,678,871011,Salaried,Approved,Kolkata
Kabir,29,103693,616,620712,Salaried,Rejected,Ahmedabad
Arjun,25,101683,548,430402,Salaried,Rejected,Kolkata
Aditya,52,100936,782,660177,Salaried,Approved,Chennai
Imran,27,144693,901,450812,Salaried,Approved,Chennai
Neha,56,149215,779,62037,Salaried,Approved,Mumbai
Fatima,64,120777,839,478978,Business,Approved,Bangalore
Rahul,57,134696,497,200916,Business,Rejected,Bangalore
Rahul,57,100421,520,536614,Business,Rejected,Kolkata
Fatima,53,80870,854,211129,Self-Employed,Rejected,Chennai
Neha,60,125369,862,242623,Salaried,Approved,Chennai
Aisha,34,102892,791,150973,Self-Employed,Rejected,Hyderabad
Neha,70,155578,837,89492,Self-Employed,Approved,Hyderabad
Aisha,52,68520,597,503665,Business,Approved,Pune
Aditya,61,152408,565,185688,Salaried,Approved,Bangalore
Neha,29,129393,716,-2436,Salaried,Rejected,Kolkata
Priya,68,57950,799,793460,Business,Approved,Pune
Aisha,46,153703,835,337466,Business,Rejected,Bangalore
Aisha,58,137648,547,217485,Self-Employed,Approved,Kolkata
Karan,32,130451,505,525972,Salaried,Approved,Mumbai
Riya,58,159056,827,283292,Salaried,Approved,Ahmedabad
Karan,54,70111,882,124740,Salaried,Rejected,Mumbai
Aditya,55,115934,725,280710,Salaried,Rejected,Chennai
Arjun,52,113924,565,536748,Salaried,Approved,Kolkata
Ananya,32,101584,499,556490,Business,Approved,Kolkata
Priya,52,80571,519,867010,Self-Employed,Approved,Delhi
Sara,38,65268,744,296951,Salaried,Rejected,Pune
Karan,67,73266,705,794468,Business,Rejected,Ahmedabad
Ananya,68,91570,710,389715,Self-Employed,Rejected,Bangalore
Neha,58,82594,708,906983,Business,Approved,Bangalore
Zoya,53,151257,703,668157,Self-Employed,Rejected,Chennai
Fatima,70,115479,859,32307,Salaried,Approved,Hyderabad
Karan,61,152964,873,201128,Self-Employed,Rejected,Delhi
Priya,33,83945,684,156099,Salaried,Approved,Mumbai
Arjun,60,100660,859,151009,Self-Employed,Approved,Hyderabad
Rohan,53,148492,516,377495,Salaried,Rejected,Chennai
Priya,64,115114,677,151996,Self-Employed,Rejected,Mumbai
Imran,48,83923,544,555918,Salaried,Rejected,Delhi
Zoya,55,144433,695,716483,Self-Employed,Rejected,Kolkata
Sara,62,154661,743,384506,Self-Employed,Approved,Bangalore
Aditya,43,122125,555,596888,Salaried,Approved,Chennai
Rahul,69,152887,710,-5878,Self-Employed,Rejected,Mumbai
Fatima,53,123634,879,2792,Salaried,Rejected,Ahmedabad
Sara,48,76213,872,390698,Self-Employed,Approved,Kolkata
Zoya,43,145691,733,507062,Self-Employed,Approved,Pune
Neha,40,115807,813,229866,Business,Approved,Bangalore
Kabir,38,125671,875,708645,Salaried,Rejected,Delhi
Aisha,25,28825,864,1037358,Self-Employed,Rejected,Ahmedabad
Aditya,47,88489,846,-69406,Business,Approved,Pune
Aman,33,137717,698,174220,Business,Rejected,Hyderabad
Priya,63,39188,891,791925,Business,Approved,Bangalore
Neha,39,138242,892,552264,Salaried,Approved,Pune
Rahul,60,158788,910,537384,Salaried,Rejected,Delhi
Ananya,56,137411,695,396111,Self-Employed,Approved,Ahmedabad
Ananya,51,145748,682,425868,Self-Employed,Rejected,Ahmedabad
Ananya,52,152313,791,457083,Self-Employed,Rejected,Kolkata
Rahul,51,143362,875,922675,Self-Employed,Rejected,Kolkata
Neha,65,145752,848,57211,Self-Employed,Approved,Hyderabad
Imran,65,93194,888,417720,Business,Rejected,Bangalore
Arjun,53,83916,839,554096,Business,Rejected,Mumbai
Arjun,57,121697,852,364912,Self-Employed,Rejected,Chennai
Sara,68,132879,891,495140,Business,Rejected,Ahmedabad
Sara,29,90865,810,822364,Salaried,Approved,Delhi
Zoya,48,99324,858,533104,Business,Approved,Delhi
Aman,22,125648,785,840960,Self-Employed,Rejected,Mumbai
Riya,39,85871,803,917702,Self-Employed,Approved,Ahmedabad
Neha,41,145402,620,489379,Self-Employed,Rejected,Mumbai
Aman,69,129247,571,153610,Salaried,Approved,Kolkata
Kabir,64,141807,706,601412,Business,Approved,Kolkata
Karan,52,147171,682,279747,Business,Approved,Mumbai
Imran,50,150700,867,756823,Business,Approved,Kolkata
Karan,57,136872,685,426452,Business,Approved,Ahmedabad
Ananya,42,151142,724,141864,Self-Employed,Rejected,Pune
Aisha,47,154753,558,467384,Self-Employed,Approved,Ahmedabad
Riya,55,155620,707,92024,Salaried,Approved,Delhi
Karan,30,117186,547,571908,Salaried,Approved,Bangalore
Fatima,47,49132,876,-34767,Self-Employed,Approved,Mumbai
Zoya,56,117008,865,534983,Salaried,Approved,Ahmedabad
Aman,59,79369,548,3756,Self-Employed,Approved,Bangalore
Fatima,65,150435,857,-3187,Salaried,Rejected,Ahmedabad
Rohan,51,155452,875,451750,Self-Employed,Approved,Delhi
Ananya,57,137685,852,789832,Salaried,Approved,Pune
Riya,61,161030,878,954584,Business,Approved,Bangalore
Fatima,41,110613,574,792914,Business,Approved,Chennai
Neha,51,117467,807,-57302,Salaried,Rejected,Mumbai
Zoya,45,152167,719,305033,Salaried,Approved,Ahmedabad
Fatima,55,105176,794,414440,Salaried,Rejected,Ahmedabad
Aditya,49,138971,870,265704,Salaried,Rejected,Hyderabad
Rahul,38,101986,688,384003,Self-Employed,Approved,Kolkata
Aditya,50,141063,835,604814,Salaried,Rejected,Pune
Priya,45,101785,660,847839,Self-Employed,Rejected,Delhi
Aman,59,78334,643,346475,Business,Approved,Kolkata
Rahul,66,148359,849,282743,Business,Rejected,Chennai
Aditya,44,102772,632,594005,Business,Approved,Kolkata
Ananya,55,163468,859,226922,Self-Employed,Approved,Delhi
Zoya,61,106855,845,789704,Business,Approved,Ahmedabad
Arjun,44,118157,697,830919,Self-Employed,Rejected,Ahmedabad
Priya,44,142676,613,606874,Business,Approved,Pune
Rahul,19,99632,856,797116,Salaried,Rejected,Bangalore
Sara,65,124169,793,364496,Self-Employed,Approved,Pune
Rahul,65,154539,729,736018,Self-Employed,Approved,Delhi
Aditya,42,96383,703,217259,Self-Employed,Rejected,Kolkata
Rahul,31,87164,689,633484,Salaried,Rejected,Pune
Kabir,67,128391,723,279457,Business,Rejected,Hyderabad
Ananya,42,131278,503,595869,Business,Rejected,Kolkata
Aisha,40,134490,722,735056,Salaried,Approved,Kolkata
Sara,66,142126,463,312534,Business,Rejected,Mumbai
Priya,20,139491,757,686146,Self-Employed,Approved,Bangalore
Fatima,43,25025,907,311521,Self-Employed,Rejected,Ahmedabad
Sara,57,127744,861,126122,Salaried,Rejected,Pune
Sara,60,115413,843,770658,Self-Employed,Rejected,Mumbai
Imran,62,99393,870,717904,Self-Employed,Approved,Ahmedabad
Aditya,66,154471,886,5962,Salaried,Rejected,Pune
Neha,63,110394,882,546093,Salaried,Approved,Delhi
Rahul,49,164127,859,325245,Salaried,Rejected,Mumbai
Zoya,55,145302,643,759646,Self-Employed,Rejected,Kolkata
Neha,51,125027,634,214093,Salaried,Rejected,Kolkata
Karan,38,158817,757,773226,Business,Rejected,Kolkata
Aman,42,136821,750,599136,Business,Rejected,Kolkata
Rohan,24,136650,663,465217,Business,Approved,Mumbai
Ananya,63,45763,638,197424,Self-Employed,Rejected,Ahmedabad
Imran,63,81388,789,822715,Self-Employed,Rejected,Kolkata
Fatima,61,157221,665,387852,Business,Rejected,Hyderabad
Kabir,31,129468,557,105814,Self-Employed,Approved,Kolkata
Rohan,26,112348,767,576641,Self-Employed,Approved,Hyderabad
Ananya,43,113833,709,276085,Business,Rejected,Mumbai
Priya,46,151155,671,663264,Business,Rejected,Ahmedabad
Sara,40,75440,678,933376,Business,Rejected,Bangalore
Arjun,63,158527,683,257045,Self-Employed,Approved,Ahmedabad
Rahul,38,151635,880,845637,Salaried,Approved,Hyderabad
Riya,59,97145,874,697425,Self-Employed,Rejected,Ahmedabad
Rohan,61,136520,885,538439,Business,Rejected,Pune
Neha,58,116178,657,921830,Self-Employed,Rejected,Delhi
Arjun,69,136484,787,140533,Business,Approved,Hyderabad
Neha,46,38602,854,489331,Salaried,Rejected,Mumbai
Aman,63,113229,736,118794,Business,Approved,Pune
Imran,56,119829,863,331081,Business,Approved,Pune
Rohan,64,91331,724,652536,Business,Rejected,Kolkata
Rohan,69,50070,556,468614,Business,Approved,Hyderabad
Fatima,49,117382,822,609454,Business,Approved,Kolkata
Imran,62,154679,828,524664,Business,Rejected,Ahmedabad
Karan,29,155094,860,889174,Business,Rejected,Bangalore
Rahul,47,129133,878,735028,Business,Rejected,Chennai
Rahul,42,114092,657,499645,Salaried,Approved,Pune
Rohan,46,73325,675,133639,Self-Employed,Rejected,Chennai
Rahul,62,106779,761,300280,Salaried,Rejected,Delhi
Neha,60,87376,663,177783,Business,Rejected,Bangalore
Imran,51,76533,582,40519,Business,Approved,Chennai
Karan,59,144421,665,436223,Business,Approved,Kolkata
Imran,67,106724,648,219768,Business,Approved,Delhi
Kabir,60,112579,596,249340,Salaried,Approved,Pune
Kabir,23,129429,865,536333,Business,Approved,Mumbai
Priya,30,141524,860,186622,Salaried,Rejected,Hyderabad
Fatima,45,150304,799,794204,Business,Rejected,Kolkata
Sara,29,156327,823,968401,Business,Approved,Chennai
Aditya,35,145794,792,957298,Business,Approved,Hyderabad
Aditya,27,129370,743,656704,Business,Approved,Mumbai
Fatima,38,99007,836,-4902,Self-Employed,Approved,Pune
Riya,52,130596,556,711612,Self-Employed,Rejected,Pune
Aditya,68,92168,828,574048,Salaried,Rejected,Delhi
Riya,62,132685,875,757929,Business,Rejected,Delhi
Neha,57,95152,848,393064,Salaried,Rejected,Ahmedabad
Neha,26,114846,851,560733,Self-Employed,Approved,Bangalore
Priya,26,111594,762,414865,Self-Employed,Approved,Hyderabad
Karan,58,123128,627,692879,Self-Employed,Approved,Chennai
Karan,58,163454,883,950504,Self-Employed,Approved,Delhi
Aman,68,116489,832,105957,Self-Employed,Approved,Chennai
Fatima,49,141785,666,865964,Salaried,Rejected,Pune
Arjun,37,66078,839,351388,Business,Rejected,Pune
Kabir,60,97955,749,353617,Self-Employed,Approved,Kolkata
Kabir,68,101604,538,290366,Self-Employed,Approved,Hyderabad
Aisha,58,153891,551,371892,Salaried,Rejected,Bangalore
Kabir,68,133311,676,559641,Salaried,Approved,Kolkata
Priya,68,149185,778,197904,Business,Approved,Delhi
Neha,67,114798,707,221451,Salaried,Rejected,Ahmedabad
Ananya,62,128485,602,371677,Self-Employed,Approved,Delhi
Rohan,63,105091,642,256243,Salaried,Rejected,Pune
Priya,48,73246,541,233905,Business,Approved,Mumbai
Rohan,65,140345,752,601139,Salaried,Approved,Ahmedabad
Karan,55,117561,894,36337,Self-Employed,Rejected,Pune
Rohan,69,98209,675,239443,Self-Employed,Rejected,Delhi
Imran,44,132719,843,486848,Salaried,Rejected,Pune
Riya,61,68408,841,353510,Business,Approved,Delhi
Aisha,62,108125,834,429782,Self-Employed,Rejected,Bangalore
Aisha,59,156987,557,431203,Self-Employed,Rejected,Mumbai
Aisha,59,145841,802,389582,Business,Approved,Delhi
Ananya,64,79152,736,818193,Self-Employed,Approved,Delhi
Sara,43,74690,505,447887,Self-Employed,Approved,Mumbai
Arjun,60,157739,821,543151,Salaried,Rejected,Mumbai
Fatima,54,152635,876,873980,Salaried,Approved,Pune
Aditya,28,120683,716,427681,Self-Employed,Rejected,Mumbai
Imran,40,90742,666,112702,Salaried,Approved,Mumbai
Riya,56,156574,786,242455,Salaried,Approved,Mumbai
Aditya,62,68535,615,593269,Business,Rejected,Delhi
Aman,50,122353,728,579156,Salaried,Rejected,Delhi
Arjun,66,52960,782,371419,Self-Employed,Approved,Ahmedabad
Kabir,62,94787,860,209104,Self-Employed,Rejected,Kolkata
Karan,66,102691,819,712676,Business,Approved,Pune
Rahul,35,105451,856,873426,Business,Approved,Pune
Zoya,54,93520,696,822859,Business,Rejected,Ahmedabad
Rahul,47,152047,637,105723,Salaried,Approved,Hyderabad
Aman,20,71838,689,610598,Business,Approved,Ahmedabad
Karan,27,125585,579,288797,Self-Employed,Approved,Pune
Rohan,45,149991,701,290832,Business,Rejected,Ahmedabad
Riya,40,77889,812,403066,Self-Employed,Rejected,Mumbai
Ananya,56,68886,833,146697,Salaried,Rejected,Ahmedabad
Ananya,55,147505,769,744845,Salaried,Approved,Pune
Aditya,49,150446,569,109746,Business,Rejected,Hyderabad
Riya,62,127786,513,880598,Salaried,Rejected,Bangalore
Aman,63,97291,783,267207,Business,Rejected,Hyderabad
Rahul,57,161551,634,110688,Self-Employed,Approved,Mumbai
Riya,32,135797,709,380064,Self-Employed,Approved,Ahmedabad
Arjun,57,164090,754,479045,Self-Employed,Approved,Kolkata
Aman,66,152661,642,1013569,Self-Employed,Rejected,Kolkata
Sara,35,117312,861,552974,Salaried,Approved,Ahmedabad
Kabir,36,125065,861,944578,Business,Approved,Pune
Arjun,30,134529,886,410308,Business,Approved,Ahmedabad
Riya,41,43924,811,384061,Business,Approved,Hyderabad
Aditya,38,91905,884,641553,Business,Approved,Ahmedabad
Riya,29,50582,880,371682,Self-Employed,Approved,Hyderabad
Riya,25,120877,830,782280,Salaried,Rejected,Mumbai
Karan,57,81566,648,520054,Business,Approved,Mumbai
Aisha,33,57282,874,475769,Salaried,Approved,Delhi
Zoya,47,120949,655,233855,Salaried,Approved,Pune
Neha,65,155185,889,864419,Salaried,Rejected,Hyderabad
Aditya,29,149085,657,496355,Self-Employed,Rejected,Mumbai
Rohan,68,84463,862,535470,Self-Employed,Approved,Ahmedabad
Aditya,54,98502,638,488815,Salaried,Rejected,Chennai
Ananya,68,130111,812,337018,Business,Rejected,Pune
Aman,68,76854,663,41701,Salaried,Rejected,Mumbai
Karan,64,94277,844,120399,Self-Employed,Approved,Ahmedabad
Priya,66,120895,738,412478,Business,Rejected,Hyderabad
Priya,66,95369,854,221656,Salaried,Approved,Chennai
Zoya,65,120403,635,810037,Business,Approved,Chennai
Rahul,49,97503,700,291606,Business,Rejected,Mumbai
Karan,32,90711,582,117445,Self-Employed,Rejected,Kolkata
Neha,63,116699,794,345183,Salaried,Approved,Mumbai
Rahul,45,131393,862,744727,Business,Rejected,Kolkata
Kabir,71,107642,607,380426,Self-Employed,Approved,Hyderabad
Arjun,22,90893,674,894653,Salaried,Rejected,Delhi
Priya,32,155499,685,842041,Business,Rejected,Ahmedabad
Arjun,25,116247,863,239646,Business,Approved,Pune
Riya,28,115097,744,808739,Business,Approved,Delhi
Karan,44,140100,519,818678,Self-Employed,Rejected,Ahmedabad
Neha,56,140059,837,9208,Self-Employed,Approved,Mumbai
Karan,54,127828,602,71565,Self-Employed,Approved,Pune
Sara,57,86078,825,652063,Self-Employed,Rejected,Mumbai
Aman,54,87538,852,209265,Business,Rejected,Delhi
Rohan,62,154400,685,294644,Self-Employed,Rejected,Mumbai
Ananya,34,115782,851,61557,Self-Employed,Approved,Mumbai
Zoya,57,134345,775,90691,Self-Employed,Rejected,Bangalore
Rohan,53,128162,551,946960,Business,Approved,Hyderabad
Zoya,47,109373,885,365109,Business,Approved,Delhi
Aisha,69,135958,663,731302,Self-Employed,Rejected,Pune
Fatima,58,136369,710,255393,Business,Rejected,Hyderabad
Arjun,57,133723,715,507821,Business,Rejected,Pune
Rohan,56,98603,539,215683,Salaried,Rejected,Pune
Neha,54,143301,553,861129,Salaried,Approved,Kolkata
Karan,64,153767,822,630691,Salaried,Approved,Chennai
Arjun,51,100409,788,696991,Self-Employed,Rejected,Chennai
Kabir,67,61109,681,252147,Self-Employed,Approved,Hyderabad
Karan,62,105630,567,329687,Business,Approved,Pune
Arjun,70,116429,737,644503,Salaried,Rejected,Mumbai
Fatima,29,131561,744,308911,Self-Employed,Approved,Pune
Ananya,48,102668,495,393369,Business,Approved,Mumbai
Sara,55,102090,799,-13012,Self-Employed,Rejected,Ahmedabad
Karan,46,147713,894,148979,Self-Employed,Rejected,Ahmedabad
Aditya,54,126565,712,346262,Self-Employed,Approved,Ahmedabad
Rohan,63,126673,655,697072,Salaried,Rejected,Hyderabad
Rohan,66,108729,772,409734,Salaried,Rejected,Kolkata
Ananya,55,139128,636,235109,Self-Employed,Approved,Pune
Ananya,70,142747,685,804687,Salaried,Rejected,Chennai
Riya,64,94949,483,213424,Salaried,Rejected,Delhi
Fatima,34,126181,857,277388,Self-Employed,Rejected,Hyderabad
Aman,26,147823,772,40650,Salaried,Rejected,Kolkata
Aditya,42,112523,836,613779,Salaried,Approved,Chennai
Aisha,59,118581,835,606909,Business,Rejected,Ahmedabad
Rohan,31,137354,643,201588,Salaried,Rejected,Kolkata
Imran,28,154714,876,258950,Salaried,Rejected,Mumbai
Rohan,64,80032,769,760990,Business,Approved,Mumbai
Kabir,55,75466,635,178398,Salaried,Rejected,Hyderabad
Neha,29,68625,836,882769,Self-Employed,Approved,Hyderabad
Ananya,34,146263,589,754729,Salaried,Rejected,Pune
Kabir,61,144620,878,426401,Salaried,Approved,Ahmedabad
Aditya,24,41248,793,656294,Salaried,Approved,Mumbai
Riya,59,112961,709,695304,Business,Approved,Chennai
Karan,53,133262,801,65237,Business,Rejected,Chennai
Ananya,51,131216,722,923415,Business,Approved,Bangalore
Zoya,51,46529,759,680118,Self-Employed,Rejected,Mumbai
Rahul,43,127192,829,434946,Self-Employed,Rejected,Delhi
Aditya,40,147322,757,180148,Self-Employed,Approved,Mumbai
Priya,50,92401,498,935955,Self-Employed,Approved,Pune
Aman,63,105312,558,385465,Business,Rejected,Pune
Rohan,57,97722,790,370982,Self-Employed,Rejected,Chennai
Riya,65,148416,558,851890,Self-Employed,Rejected,Delhi
Aditya,66,98736,747,251776,Self-Employed,Rejected,Pune
Fatima,26,153738,724,187997,Business,Rejected,Ahmedabad
Sara,46,149214,707,555629,Business,Rejected,Mumbai
Zoya,40,140825,855,921196,Self-Employed,Rejected,Mumbai
Aman,50,152383,611,540674,Business,Rejected,Kolkata
Karan,57,119795,675,524145,Salaried,Approved,Bangalore
Zoya,58,132731,672,868403,Self-Employed,Rejected,Hyderabad
Rohan,41,89507,644,330608,Business,Approved,Ahmedabad
Sara,68,108462,870,-6806,Business,Approved,Kolkata
Riya,67,87220,801,228451,Business,Approved,Delhi
Karan,25,113289,774,905499,Self-Employed,Approved,Pune
Riya,41,48947,652,569279,Salaried,Approved,Ahmedabad
Rahul,57,101053,829,266457,Self-Employed,Rejected,Mumbai
Rahul,23,131307,688,275984,Self-Employed,Rejected,Delhi
Rohan,67,153184,847,144468,Salaried,Rejected,Bangalore
Fatima,54,120010,713,720876,Self-Employed,Rejected,Chennai
Riya,34,75223,826,606438,Self-Employed,Approved,Hyderabad
Aisha,29,138840,611,469665,Self-Employed,Approved,Mumbai
Aisha,62,155612,722,505023,Salaried,Approved,Chennai
Neha,32,116762,784,648389,Salaried,Rejected,Hyderabad
Zoya,59,84142,851,866864,Salaried,Rejected,Hyderabad
Neha,68,156272,605,674709,Salaried,Approved,Bangalore
Priya,66,140522,802,151406,Self-Employed,Approved,Chennai
Karan,53,127113,586,593720,Self-Employed,Rejected,Delhi
Zoya,64,111211,854,271435,Self-Employed,Approved,Pune
Neha,28,80305,653,657589,Business,Rejected,Bangalore
Riya,56,107996,881,484483,Business,Rejected,Ahmedabad
Rahul,31,50248,750,929720,Self-Employed,Approved,Ahmedabad
Priya,44,136325,718,55514,Business,Rejected,Mumbai
Arjun,59,123801,746,776863,Salaried,Rejected,Kolkata
Zoya,50,131406,774,331121,Self-Employed,Approved,Mumbai
Sara,43,138838,582,536805,Business,Rejected,Chennai
Zoya,41,108383,586,600245,Self-Employed,Rejected,Bangalore
Ananya,40,83901,762,842747,Business,Rejected,Mumbai
Aman,50,153797,735,544696,Business,Rejected,Delhi
Aisha,63,85121,811,695338,Salaried,Rejected,Kolkata
Neha,64,152744,665,485737,Salaried,Rejected,Mumbai
Aditya,62,87071,732,754367,Self-Employed,Rejected,Ahmedabad
