name,age,income,credit_score,loan_amount,employment_type,loan_status,city
Rahul,29,95807,578,887302,Salaried,Rejected,Pune
Aditya,29,26947,633,878358,Salaried,Approved,Chennai
Ananya,24,41614,829,491409,Business,Rejected,Pune
Priya,49,126976,635,588169,Business,Rejected,Pune
Rahul,60,30683,822,871273,Business,Approved,Hyderabad
Rohan,24,87781,655,496980,Business,Rejected,Pune
Aditya,25,142868,491,387758,Business,Approved,Delhi
Zoya,60,107978,749,624993,Business,Approved,Chennai
Imran,50,91263,759,501096,Salaried,Rejected,Pune
Sara,48,84186,566,483914,Self-Employed,Rejected,Kolkata
Ananya,41,80936,610,747416,Self-Employed,Rejected,Chennai
Riya,25,36957,493,147758,Self-Employed,Rejected,Pune
Fatima,29,97924,480,664953,Business,Rejected,Chennai
Zoya,43,139505,790,836730,Self-Employed,Rejected,Mumbai
Priya,43,38579,745,582060,Salaried,Rejected,Delhi
Fatima,27,70890,734,435415,Salaried,Rejected,Hyderabad
Aditya,56,125588,768,693378,Business,Approved,Mumbai
Neha,22,48647,589,786833,Self-Employed,Approved,Chennai
Rahul,30,99228,786,470252,Salaried,Rejected,Delhi
Neha,26,122794,721,275583,Self-Employed,Approved,Ahmedabad
Kabir,44,65846,819,390140,Business,Rejected,Pune
Fatima,31,123885,766,102179,Business,Approved,Pune
Sara,52,104570,676,484303,Self-Employed,Rejected,Bangalore
Zoya,43,81349,506,347005,Business,Rejected,Kolkata
Imran,23,53903,652,678437,Salaried,Approved,Mumbai
Fatima,29,125160,580,353507,Self-Employed,Approved,Pune
Riya,32,41932,644,608453,Business,Rejected,Bangalore
Arjun,25,77044,829,94357,Self-Employed,Approved,Mumbai
Karan,41,100465,669,651253,Self-Employed,Approved,Ahmedabad
Riya,22,67568,537,890247,Business,Rejected,Kolkata
Karan,26,82240,504,305135,Self-Employed,Rejected,Ahmedabad
Sara,40,122754,623,282335,Self-Employed,Approved,Delhi
Kabir,54,91840,549,999928,Self-Employed,Rejected,Chennai
Arjun,36,38474,524,318402,Salaried,Rejected,Delhi
Rohan,32,149687,845,708452,Self-Employed,Rejected,Kolkata
Aman,64,146130,739,724225,Business,Rejected,Chennai
Aisha,30,82640,484,541699,Self-Employed,Rejected,Hyderabad
Riya,43,91497,487,375486,Self-Employed,Approved,Kolkata
Aisha,39,35057,780,956231,Salaried,Approved,Ahmedabad
Kabir,49,144150,742,733501,Salaried,Rejected,Chennai
Neha,24,84050,502,900360,Self-Employed,Rejected,Pune
Zoya,23,57472,812,509022,Self-Employed,Approved,Delhi
Aman,45,78578,846,404803,Business,Rejected,Mumbai
Kabir,25,68213,498,635066,Business,Rejected,Ahmedabad
Karan,42,35682,748,745847,Salaried,Approved,Chennai
Aman,29,102993,812,138834,Self-Employed,Approved,Ahmedabad
Fatima,29,112833,809,919226,Business,Approved,Pune
Aman,53,72425,459,430211,Self-Employed,Rejected,Delhi
Sara,52,50166,565,194247,Salaried,Approved,Pune
Kabir,53,126040,726,925686,Business,Rejected,Mumbai
Aisha,59,74377,528,220128,Salaried,Rejected,Delhi
Rohan,47,72749,796,804540,Salaried,Approved,Kolkata
Rohan,35,94993,572,374500,Self-Employed,Rejected,Bangalore
Imran,50,125851,594,865922,Self-Employed,Rejected,Ahmedabad
Sara,59,43140,578,104714,Business,Rejected,Kolkata
Kabir,54,136564,513,348910,Salaried,Approved,Delhi
Fatima,48,37021,563,906375,Self-Employed,Rejected,Chennai
Riya,24,76964,707,442127,Salaried,Rejected,Ahmedabad
Kabir,35,28694,613,153896,Business,Rejected,Chennai
Rahul,23,62601,691,779884,Salaried,Approved,Kolkata
Zoya,26,27490,581,276130,Salaried,Approved,Ahmedabad
Rohan,36,64472,512,100068,Salaried,Rejected,Ahmedabad
Priya,25,39530,705,675726,Business,Rejected,Mumbai
Fatima,30,63177,669,51640,Business,Approved,Chennai
Rahul,32,112080,792,139772,Business,Approved,Chennai
Aditya,45,139469,690,95649,Business,Rejected,Ahmedabad
Aman,22,71805,484,411551,Salaried,Rejected,Pune
Rohan,29,30811,630,622536,Self-Employed,Rejected,Delhi
Rohan,65,87722,773,241132,Salaried,Rejected,Pune
Zoya,23,63462,553,95934,Salaried,Approved,Mumbai
Imran,53,77196,728,546395,Self-Employed,Rejected,Mumbai
Riya,39,71789,849,100126,Business,Approved,Chennai
Neha,48,141586,654,829414,Self-Employed,Approved,Ahmedabad
Fatima,52,115710,704,435191,Business,Rejected,Hyderabad
Arjun,26,81440,758,912287,Salaried,Approved,Hyderabad
Rohan,41,111628,601,371384,Self-Employed,Approved,Ahmedabad
Aisha,43,83606,471,812120,Self-Employed,Rejected,Ahmedabad
Kabir,25,112973,776,475942,Self-Employed,Rejected,Delhi
Riya,59,113878,850,509457,Salaried,Approved,Delhi
Riya,44,75181,740,83958,Business,Rejected,Delhi
Karan,44,83188,840,130620,Business,Approved,Delhi
Ananya,41,110139,592,311736,Salaried,Rejected,Mumbai
Imran,54,75723,737,173481,Self-Employed,Rejected,Hyderabad
Arjun,60,62431,805,565060,Salaried,Approved,Pune
Arjun,49,47630,815,516732,Salaried,Approved,Chennai
Neha,56,96063,598,984629,Self-Employed,Rejected,Delhi
Ananya,44,91683,564,177257,Salaried,Approved,Delhi
Kabir,22,72303,733,650076,Self-Employed,Rejected,Kolkata
Ananya,60,140899,494,118941,Self-Employed,Rejected,Ahmedabad
Aman,54,78843,843,479322,Business,Approved,Pune
Neha,62,34720,680,538461,Business,Approved,Chennai
Zoya,29,81704,707,960385,Salaried,Approved,Pune
Zoya,31,46229,615,793788,Salaried,Rejected,Chennai
Zoya,26,57847,550,715905,Business,Approved,Hyderabad
Kabir,60,94924,497,576986,Business,Rejected,Delhi
Aisha,31,111341,769,805638,Business,Rejected,Chennai
Fatima,22,35646,473,722612,Business,Rejected,Hyderabad
Zoya,60,108753,465,572230,Business,Rejected,Hyderabad
Aisha,51,57096,800,475818,Self-Employed,Approved,Kolkata
Kabir,31,82619,662,557774,Self-Employed,Approved,Bangalore
Kabir,41,137916,817,384827,Business,Rejected,Chennai
Aditya,44,92499,737,161341,Self-Employed,Approved,Bangalore
Fatima,49,57495,522,151514,Salaried,Rejected,Hyderabad
Neha,36,138417,531,902993,Self-Employed,Approved,Chennai
Karan,52,92466,689,572987,Self-Employed,Approved,Kolkata
Zoya,53,84930,573,275595,Business,Approved,Chennai
Sara,52,103317,784,755188,Self-Employed,Approved,Hyderabad
Karan,48,42555,585,812847,Self-Employed,Approved,Ahmedabad
Rohan,24,99747,737,254110,Self-Employed,Approved,Hyderabad
Sara,56,61663,769,763449,Business,Approved,Pune
Karan,46,73915,623,634929,Self-Employed,Approved,Delhi
Rohan,53,30276,473,90804,Salaried,Rejected,Chennai
Zoya,30,104463,713,196570,Self-Employed,Approved,Chennai
Zoya,58,69089,709,918524,Business,Rejected,Kolkata
Zoya,51,131921,458,436251,Self-Employed,Rejected,Pune
Priya,65,107478,463,675905,Self-Employed,Rejected,Hyderabad
Priya,24,101483,695,228794,Business,Approved,Ahmedabad
Fatima,23,100047,808,165233,Salaried,Approved,Mumbai
Aisha,30,79127,803,263795,Self-Employed,Rejected,Kolkata
Aman,29,92984,556,638132,Self-Employed,Rejected,Kolkata
Aditya,32,85249,722,408955,Business,Rejected,Chennai
Zoya,60,88462,548,308494,Self-Employed,Approved,Hyderabad
Riya,39,117392,556,773769,Business,Approved,Kolkata
Karan,56,147381,819,336741,Self-Employed,Approved,Pune
Arjun,46,132266,626,860616,Salaried,Approved,Hyderabad
Aditya,43,146111,676,737836,Self-Employed,Approved,Kolkata
Priya,56,116248,589,193941,Salaried,Approved,Bangalore
Sara,61,55518,476,155065,Self-Employed,Rejected,Chennai
Ananya,64,126025,520,55433,Business,Rejected,Delhi
Aisha,51,110267,552,842630,Self-Employed,Approved,Chennai
Neha,26,110498,743,293500,Business,Rejected,Mumbai
Zoya,47,140637,540,88105,Self-Employed,Approved,Kolkata
Aman,23,26214,602,645551,Business,Rejected,Pune
Kabir,39,84552,778,619691,Business,Rejected,Kolkata
Rohan,53,86344,589,252177,Salaried,Approved,Chennai
Imran,62,58720,817,245243,Salaried,Rejected,Chennai
Arjun,32,105079,777,990617,Self-Employed,Approved,Ahmedabad
Priya,46,112720,498,243757,Salaried,Rejected,Kolkata
Zoya,21,59181,646,296961,Self-Employed,Rejected,Hyderabad
Aisha,58,119749,743,61991,Self-Employed,Rejected,Chennai
Zoya,63,40495,688,371709,Salaried,Rejected,Ahmedabad
Kabir,65,40389,777,359369,Self-Employed,Approved,Bangalore
Ananya,51,45078,682,834056,Business,Approved,Chennai
Arjun,55,130119,790,915708,Salaried,Rejected,Bangalore
Sara,54,83556,720,787952,Self-Employed,Rejected,Pune
Kabir,24,133629,730,996746,Business,Rejected,Bangalore
Ananya,31,68007,716,513303,Salaried,Rejected,Bangalore
Fatima,26,142819,711,517122,Salaried,Approved,Kolkata
Karan,50,98912,479,635941,Self-Employed,Rejected,Hyderabad
Riya,37,132014,451,832032,Salaried,Approved,Pune
Fatima,65,33357,727,113182,Salaried,Approved,Kolkata
Karan,32,125790,519,853028,Business,Rejected,Ahmedabad
Riya,49,138982,643,443892,Salaried,Rejected,Delhi
Priya,28,48392,725,462151,Business,Rejected,Delhi
Priya,21,124113,461,362856,Self-Employed,Rejected,Ahmedabad
Sara,36,85375,627,212656,Self-Employed,Rejected,Bangalore
Arjun,23,131099,788,489605,Business,Approved,Mumbai
Aisha,27,102849,467,518127,Business,Rejected,Mumbai
Zoya,46,82535,569,615979,Salaried,Approved,Mumbai
Kabir,35,131926,824,654095,Self-Employed,Approved,Chennai
Neha,63,93321,563,483649,Self-Employed,Approved,Hyderabad
Karan,61,113965,668,632851,Self-Employed,Rejected,Mumbai
Neha,54,66777,806,486548,Self-Employed,Approved,Delhi
Kabir,55,87065,573,940598,Salaried,Rejected,Hyderabad
Kabir,50,144896,479,639704,Self-Employed,Rejected,Ahmedabad
Riya,45,56831,580,263214,Self-Employed,Rejected,Pune
Aisha,26,95206,820,919695,Salaried,Approved,Mumbai
Aman,25,49662,839,666126,Business,Approved,Bangalore
Ananya,40,144143,457,272096,Salaried,Rejected,Pune
Aman,36,116177,759,787954,Salaried,Rejected,Ahmedabad
Riya,39,74894,688,609572,Business,Approved,Chennai
Aman,53,140711,704,538640,Salaried,Rejected,Kolkata
Rahul,34,73589,610,484037,Salaried,Rejected,Bangalore
Imran,37,97523,749,657275,Business,Approved,Ahmedabad
Aman,42,55149,644,647467,Salaried,Rejected,Kolkata
Riya,37,125055,700,808705,Business,Approved,Kolkata
Aisha,31,43344,818,623095,Self-Employed,Rejected,Delhi
Fatima,54,29433,488,907730,Business,Rejected,Mumbai
Rohan,29,135434,772,292675,Salaried,Approved,Delhi
Rahul,44,32923,766,718706,Business,Rejected,Kolkata
Aditya,21,94758,732,481319,Salaried,Approved,Mumbai
Neha,55,62576,458,576611,Business,Rejected,Ahmedabad
Aditya,27,145330,499,599857,Salaried,Approved,Bangalore
Priya,43,60038,653,132857,Self-Employed,Approved,Ahmedabad
Karan,65,54603,603,767269,Salaried,Approved,Mumbai
Arjun,45,97443,693,108840,Business,Rejected,Mumbai
Aisha,52,135799,672,726234,Self-Employed,Rejected,Pune
Arjun,35,52710,804,980668,Business,Approved,Kolkata
Aman,64,146318,593,992996,Business,Approved,Mumbai
Zoya,22,52152,750,201195,Business,Rejected,Ahmedabad
Kabir,31,98919,573,644223,Self-Employed,Rejected,Chennai
Fatima,65,119917,490,575119,Business,Approved,Chennai
Aman,35,134926,488,407137,Business,Rejected,Ahmedabad
Karan,22,108115,589,871609,Self-Employed,Approved,Kolkata
Zoya,48,49345,798,664334,Business,Approved,Ahmedabad
Kabir,36,118468,487,136023,Self-Employed,Rejected,Delhi
Rohan,45,66507,634,161726,Salaried,Rejected,Mumbai
Rohan,44,124791,588,157197,Salaried,Approved,Pune
Arjun,56,97710,712,477865,Salaried,Approved,Mumbai
Karan,59,103386,616,955674,Self-Employed,Approved,Mumbai
Neha,26,120006,736,999178,Salaried,Rejected,Delhi
Fatima,29,60247,604,331444,Self-Employed,Approved,Delhi
Priya,38,80194,603,557753,Salaried,Approved,Chennai
Zoya,61,89985,754,696624,Salaried,Approved,Kolkata
Aman,21,149364,652,398354,Business,Rejected,Ahmedabad
Imran,49,68874,670,905088,Business,Approved,Delhi
Ananya,51,66180,540,467584,Self-Employed,Rejected,Hyderabad
Karan,57,127494,574,391716,Self-Employed,Rejected,Hyderabad
Rahul,44,39927,738,259505,Business,Rejected,Delhi
Arjun,50,148597,812,269832,Self-Employed,Rejected,Hyderabad
Kabir,47,113208,705,195939,Business,Approved,Hyderabad
Fatima,48,128425,643,127558,Self-Employed,Rejected,Kolkata
Priya,55,29818,634,785716,Business,Approved,Pune
Karan,63,112122,631,224418,Business,Rejected,Mumbai
Priya,42,129363,670,161090,Salaried,Approved,Pune
Rahul,49,74036,650,535556,Business,Approved,Delhi
Kabir,51,38703,601,486181,Salaried,Rejected,Pune
Sara,43,65880,625,527450,Salaried,Approved,Kolkata
Sara,49,119633,806,524425,Self-Employed,Approved,Pune
Priya,22,136303,625,729445,Salaried,Rejected,Delhi
Priya,54,47865,732,217914,Self-Employed,Rejected,Ahmedabad
Imran,46,107543,544,245440,Business,Rejected,Ahmedabad
Arjun,49,102621,669,457723,Salaried,Approved,Bangalore
Sara,57,38336,724,246041,Self-Employed,Approved,Chennai
Karan,37,112910,700,603349,Business,Rejected,Chennai
Zoya,58,39972,628,419082,Self-Employed,Rejected,Delhi
Zoya,60,102354,493,754758,Salaried,Approved,Chennai
Kabir,28,48992,641,777120,Salaried,Approved,Ahmedabad
Ananya,57,75293,666,244776,Self-Employed,Rejected,Delhi
Rahul,39,43388,545,379861,Self-Employed,Rejected,Mumbai
Ananya,52,42895,549,904815,Self-Employed,Rejected,Kolkata
Priya,47,118079,677,562438,Salaried,Rejected,Pune
Rohan,39,29285,590,285765,Business,Approved,Hyderabad
Aditya,57,122323,845,853124,Self-Employed,Approved,Pune
Fatima,55,132909,637,618373,Salaried,Rejected,Kolkata
Aisha,27,121467,784,837842,Salaried,Rejected,Hyderabad
Sara,49,59447,628,954081,Salaried,Rejected,Kolkata
Fatima,36,52509,827,666482,Business,Rejected,Chennai
Riya,31,105760,521,872974,Salaried,Rejected,Bangalore
Zoya,55,61842,755,614939,Salaried,Rejected,Chennai
Fatima,39,100069,586,949695,Business,Approved,Pune
Aman,24,61349,785,183051,Business,Approved,Delhi
Aditya,36,124807,796,461776,Self-Employed,Approved,Delhi
Aditya,61,79293,642,523947,Salaried,Approved,Pune
Arjun,65,147727,638,526782,Self-Employed,Rejected,Chennai
Karan,50,108209,790,781160,Self-Employed,Rejected,Pune
Aman,34,81314,558,568746,Self-Employed,Rejected,Chennai
Aisha,56,100750,516,643643,Self-Employed,Rejected,Chennai
Neha,23,38051,770,871967,Self-Employed,Approved,Mumbai
Zoya,49,84836,450,498580,Salaried,Rejected,Delhi
Riya,31,139612,590,147874,Business,Approved,Chennai
Priya,63,143462,782,223565,Salaried,Approved,Ahmedabad
Arjun,48,110915,496,787880,Salaried,Approved,Mumbai
Aman,29,102814,565,594676,Business,Approved,Kolkata
Karan,28,137766,666,777744,Salaried,Approved,Kolkata
Kabir,26,120782,502,158214,Self-Employed,Rejected,Chennai
Rahul,45,126379,835,966976,Salaried,Approved,Delhi
Kabir,60,110199,534,511477,Self-Employed,Rejected,Bangalore
Kabir,47,105750,801,513873,Salaried,Rejected,Pune
Kabir,28,102276,823,452686,Self-Employed,Approved,Ahmedabad
Rahul,36,61302,780,138341,Salaried,Rejected,Hyderabad
Zoya,63,139796,604,265425,Business,Rejected,Bangalore
Arjun,62,32152,572,568927,Self-Employed,Approved,Pune
Fatima,54,141486,456,428638,Self-Employed,Rejected,Delhi
Arjun,44,96612,799,231162,Self-Employed,Approved,Pune
Fatima,21,59365,560,91761,Salaried,Rejected,Ahmedabad
Zoya,48,116987,655,136431,Business,Approved,Delhi
Arjun,26,92017,554,897312,Salaried,Rejected,Chennai
Fatima,40,116576,673,815416,Salaried,Approved,Mumbai
Neha,28,84424,763,688407,Salaried,Rejected,Hyderabad
Riya,28,26660,812,193876,Business,Approved,Mumbai
Kabir,54,92793,850,912460,Business,Approved,Hyderabad
Aditya,38,121067,510,858903,Salaried,Rejected,Chennai
Riya,54,33371,584,796925,Business,Rejected,Pune
Sara,24,90484,740,224987,Self-Employed,Approved,Delhi
Rahul,57,113358,820,170936,Salaried,Approved,Mumbai
Aisha,36,31026,691,431657,Self-Employed,Approved,Delhi
Priya,56,130265,815,826644,Business,Approved,Ahmedabad
Sara,47,145042,818,385476,Self-Employed,Approved,Pune
Arjun,53,113254,476,238056,Salaried,Rejected,Mumbai
Rohan,50,138512,594,861102,Self-Employed,Approved,Chennai
Priya,21,73354,552,355759,Business,Rejected,Hyderabad
Fatima,50,73270,752,567326,Salaried,Approved,Bangalore
Rahul,22,55539,727,413251,Business,Rejected,Mumbai
Priya,63,74319,827,812540,Self-Employed,Approved,Pune
Priya,47,89491,480,199289,Business,Approved,Hyderabad
Arjun,54,79140,808,989081,Self-Employed,Rejected,Kolkata
Aisha,58,37527,708,189999,Business,Approved,Ahmedabad
Karan,48,111827,516,298273,Self-Employed,Rejected,Hyderabad
Arjun,65,134038,826,392099,Self-Employed,Approved,Kolkata
Neha,33,42840,849,857557,Business,Approved,Pune
Imran,49,86086,610,476259,Salaried,Rejected,Chennai
Zoya,49,65410,687,327880,Salaried,Approved,Pune
Priya,65,104076,470,275465,Self-Employed,Approved,Delhi
Neha,43,76936,712,101328,Business,Approved,Hyderabad
Sara,22,149793,657,946114,Self-Employed,Approved,Bangalore
